COU,country,VAR,Variable,YEA,year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,pollution_rate,Flag Codes,Flags
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2005,2005,M3,Cubic metres,,Millions,,,,,
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2010,2010,M3,Cubic metres,6,Millions,,,,,
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2015,2015,M3,Cubic metres,6,Millions,,,144.152,B,Break
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2016,2016,M3,Cubic metres,,Millions,,,148.908,,
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2017,2017,M3,Cubic metres,6,Millions,,,202.822,,
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2018,2018,M3,Cubic metres,6,Millions,,,171.693,,
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2019,2019,M3,Cubic metres,6,Millions,,,131.636,,
AUS,Australia,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2005,2005,M3,Cubic metres,6,Millions,,,5927.76,,
AUS,Australia,REUSE,Total abstractions of reused water,2005,2005,M3,Cubic metres,6,Millions,,,424.615,,
AUS,Australia,REUSE,Total abstractions of reused water,2010,2010,M3,Cubic metres,6,Millions,,,340,,
AUS,Australia,REUSE,Total abstractions of reused water,2015,2015,M3,Cubic metres,6,Millions,,,326.302,B,Break
AUS,Australia,REUSE,Total abstractions of reused water,2016,2016,M3,Cubic metres,6,Millions,,,333.79,,
AUS,Australia,REUSE,Total abstractions of reused water,2017,2017,M3,Cubic metres,6,Millions,,,312.585,,
AUS,Australia,REUSE,Total abstractions of reused water,2018,2018,M3,Cubic metres,6,Millions,,,318.069,,
AUS,Australia,REUSE,Total abstractions of reused water,2019,2019,M3,Cubic metres,6,Millions,,,326.575,,
AUS,Australia,REUSE,Total abstractions of reused water,2020,2020,M3,Cubic metres,6,Millions,,,308.125,,
AUS,Australia,REUSE,Total abstractions of reused water,2021,2021,M3,Cubic metres,6,Millions,,,297.307,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2005,2005,M3,Cubic metres,6,Millions,,,13.035,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2010,2010,M3,Cubic metres,6,Millions,,,30,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2015,2015,M3,Cubic metres,6,Millions,,,28.194,B,Break
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2016,2016,M3,Cubic metres,6,Millions,,,30.193,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2017,2017,M3,Cubic metres,6,Millions,,,23.842,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2018,2018,M3,Cubic metres,6,Millions,,,18.807,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2019,2019,M3,Cubic metres,6,Millions,,,22.077,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2020,2020,M3,Cubic metres,6,Millions,,,23.174,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2021,2021,M3,Cubic metres,6,Millions,,,25.288,,
AUS,Australia,LOSS_TOT,Total losses during transport,2005,2005,M3,Cubic metres,6,Millions,,,2022.07,,
AUS,Australia,LOSS_TOT,Total losses during transport,2010,2010,M3,Cubic metres,6,Millions,,,1805,,
AUS,Australia,PUB,Public water supply,2010,2010,M3,Cubic metres,6,Millions,,,3196,,
AUS,Australia,PUB,Public water supply,2015,2015,M3,Cubic metres,6,Millions,,,3453.454,B,Break
AUS,Australia,PUB,Public water supply,2016,2016,M3,Cubic metres,6,Millions,,,3528.959,,
AUS,Australia,PUB,Public water supply,2017,2017,M3,Cubic metres,6,Millions,,,3423.44,,
AUS,Australia,PUB,Public water supply,2018,2018,M3,Cubic metres,6,Millions,,,3633.213,,
AUS,Australia,PUB,Public water supply,2019,2019,M3,Cubic metres,6,Millions,,,3717.863,,
AUS,Australia,PUB,Public water supply,2020,2020,M3,Cubic metres,6,Millions,,,3630.976,,
AUS,Australia,PUB,Public water supply,2021,2021,M3,Cubic metres,6,Millions,,,3557.135,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2010,2010,M3,Cubic metres,6,Millions,,,251,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2015,2015,M3,Cubic metres,6,Millions,,,591.447,B,Break
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2016,2016,M3,Cubic metres,6,Millions,,,631.17,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2017,2017,M3,Cubic metres,6,Millions,,,562.623,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2018,2018,M3,Cubic metres,6,Millions,,,640.291,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2019,2019,M3,Cubic metres,6,Millions,,,673.973,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2020,2020,M3,Cubic metres,6,Millions,,,642.874,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2021,2021,M3,Cubic metres,6,Millions,,,644.711,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2010,2010,M3,Cubic metres,6,Millions,,,36,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2015,2015,M3,Cubic metres,6,Millions,,,35.011,B,Break
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2016,2016,M3,Cubic metres,6,Millions,,,37.428,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2017,2017,M3,Cubic metres,6,Millions,,,40.692,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2018,2018,M3,Cubic metres,6,Millions,,,43.757,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2019,2019,M3,Cubic metres,6,Millions,,,49.585,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2020,2020,M3,Cubic metres,6,Millions,,,57.561,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2021,2021,M3,Cubic metres,6,Millions,,,46.709,,
AUS,Australia,PUB_MANU,Public water supply for total manufacturing,2010,2010,M3,Cubic metres,6,Millions,,,328,,
AUS,Australia,PUB_MANU,Public water supply for total manufacturing,2015,2015,M3,Cubic metres,6,Millions,,,237.089,B,Break
AUS,Australia,PUB_MANU,Public water supply for total manufacturing,2016,2016,M3,Cubic metres,6,Millions,,,226.519,,
AUS,Australia,PUB_MANU,Public water supply for total manufacturing,2017,2017,M3,Cubic metres,6,Millions,,,230.836,,
AUS,Australia,PUB_MANU,Public water supply for total manufacturing,2018,2018,M3,Cubic metres,6,Millions,,,226.634,,
AUS,Australia,PUB_MANU,Public water supply for total manufacturing,2019,2019,M3,Cubic metres,6,Millions,,,228.637,,
AUS,Australia,PUB_MANU,Public water supply for total manufacturing,2020,2020,M3,Cubic metres,6,Millions,,,229.083,,
AUS,Australia,PUB_MANU,Public water supply for total manufacturing,2021,2021,M3,Cubic metres,6,Millions,,,211.163,,
AUS,Australia,PUB_ELEC,Public water supply for electricity,2010,2010,M3,Cubic metres,6,Millions,,,48,,
AUS,Australia,PUB_ELEC,Public water supply for electricity,2015,2015,M3,Cubic metres,6,Millions,,,31.198,B,Break
AUS,Australia,PUB_ELEC,Public water supply for electricity,2016,2016,M3,Cubic metres,6,Millions,,,30.42,,
AUS,Australia,PUB_ELEC,Public water supply for electricity,2017,2017,M3,Cubic metres,6,Millions,,,25.404,,
AUS,Australia,PUB_ELEC,Public water supply for electricity,2018,2018,M3,Cubic metres,6,Millions,,,17.236,,
AUS,Australia,PUB_ELEC,Public water supply for electricity,2019,2019,M3,Cubic metres,6,Millions,,,17.11,,
AUS,Australia,PUB_ELEC,Public water supply for electricity,2020,2020,M3,Cubic metres,6,Millions,,,14.843,,
AUS,Australia,PUB_ELEC,Public water supply for electricity,2021,2021,M3,Cubic metres,6,Millions,,,14.173,,
AUS,Australia,PUB_HH,Public water supply for households,2010,2010,M3,Cubic metres,6,Millions,,,1663,,
AUS,Australia,PUB_HH,Public water supply for households,2015,2015,M3,Cubic metres,6,Millions,,,1682.011,B,Break
AUS,Australia,PUB_HH,Public water supply for households,2016,2016,M3,Cubic metres,6,Millions,,,1738.415,,
AUS,Australia,PUB_HH,Public water supply for households,2017,2017,M3,Cubic metres,6,Millions,,,1713.704,,
AUS,Australia,PUB_HH,Public water supply for households,2018,2018,M3,Cubic metres,6,Millions,,,1788.645,,
AUS,Australia,PUB_HH,Public water supply for households,2019,2019,M3,Cubic metres,6,Millions,,,1801.924,,
AUS,Australia,PUB_HH,Public water supply for households,2020,2020,M3,Cubic metres,6,Millions,,,1800.872,,
AUS,Australia,PUB_HH,Public water supply for households,2021,2021,M3,Cubic metres,6,Millions,,,1793.7,,
AUS,Australia,SELF,Self- and other supply ,2010,2010,M3,Cubic metres,6,Millions,,,10653,,
AUS,Australia,SELF,Self- and other supply ,2015,2015,M3,Cubic metres,6,Millions,,,13545.763,B,Break
AUS,Australia,SELF,Self- and other supply ,2016,2016,M3,Cubic metres,6,Millions,,,12243.346,,
AUS,Australia,SELF,Self- and other supply ,2017,2017,M3,Cubic metres,6,Millions,,,13219.298,,
AUS,Australia,SELF,Self- and other supply ,2018,2018,M3,Cubic metres,6,Millions,,,13931.309,,
AUS,Australia,SELF,Self- and other supply ,2019,2019,M3,Cubic metres,6,Millions,,,11632.003,,
AUS,Australia,SELF,Self- and other supply ,2020,2020,M3,Cubic metres,6,Millions,,,9692.24,,
AUS,Australia,SELF,Self- and other supply ,2021,2021,M3,Cubic metres,6,Millions,,,12693.643,,
AUS,Australia,SELF_HH,Self- and other supply - Households,2010,2010,M3,Cubic metres,6,Millions,,,178,,
AUS,Australia,SELF_HH,Self- and other supply - Households,2015,2015,M3,Cubic metres,6,Millions,,,140,B,Break
AUS,Australia,SELF_HH,Self- and other supply - Households,2016,2016,M3,Cubic metres,6,Millions,,,146,,
AUS,Australia,SELF_HH,Self- and other supply - Households,2017,2017,M3,Cubic metres,6,Millions,,,145,,
AUS,Australia,SELF_ELEC,Self- and other supply for electricity production and distribution,2010,2010,M3,Cubic metres,6,Millions,,,296,,
AUS,Australia,SELF_ELEC,Self- and other supply for electricity production and distribution,2015,2015,M3,Cubic metres,6,Millions,,,162.819,B,Break
AUS,Australia,SELF_ELEC,Self- and other supply for electricity production and distribution,2016,2016,M3,Cubic metres,6,Millions,,,143.201,,
AUS,Australia,SELF_ELEC,Self- and other supply for electricity production and distribution,2017,2017,M3,Cubic metres,6,Millions,,,197.615,,
AUS,Australia,SELF_ELEC,Self- and other supply for electricity production and distribution,2018,2018,M3,Cubic metres,6,Millions,,,188.78,,
AUS,Australia,SELF_ELEC,Self- and other supply for electricity production and distribution,2019,2019,M3,Cubic metres,6,Millions,,,172.767,,
AUS,Australia,SELF_ELEC,Self- and other supply for electricity production and distribution,2020,2020,M3,Cubic metres,6,Millions,,,236.101,,
AUS,Australia,SELF_ELEC,Self- and other supply for electricity production and distribution,2021,2021,M3,Cubic metres,6,Millions,,,304.743,,
AUS,Australia,SELF_AGR,"Self- and other supply for agriculture, fishing and forestry",2010,2010,M3,Cubic metres,6,Millions,,,7195,,
AUS,Australia,SELF_AGR,"Self- and other supply for agriculture, fishing and forestry",2015,2015,M3,Cubic metres,6,Millions,,,10076.105,B,Break
AUS,Australia,SELF_AGR,"Self- and other supply for agriculture, fishing and forestry",2016,2016,M3,Cubic metres,6,Millions,,,9067.544,,
AUS,Australia,SELF_AGR,"Self- and other supply for agriculture, fishing and forestry",2017,2017,M3,Cubic metres,6,Millions,,,10178.353,,
AUS,Australia,SELF_AGR,"Self- and other supply for agriculture, fishing and forestry",2018,2018,M3,Cubic metres,6,Millions,,,10848.286,,
AUS,Australia,SELF_AGR,"Self- and other supply for agriculture, fishing and forestry",2019,2019,M3,Cubic metres,6,Millions,,,8516.835,,
AUS,Australia,SELF_AGR,"Self- and other supply for agriculture, fishing and forestry",2020,2020,M3,Cubic metres,6,Millions,,,6656.389,,
AUS,Australia,SELF_AGR,"Self- and other supply for agriculture, fishing and forestry",2021,2021,M3,Cubic metres,6,Millions,,,9319.28,,
AUS,Australia,SELF_MANU,Self- and other supply for total manufacturing,2010,2010,M3,Cubic metres,6,Millions,,,328,,
AUS,Australia,SELF_MANU,Self- and other supply for total manufacturing,2015,2015,M3,Cubic metres,6,Millions,,,300.289,B,Break
AUS,Australia,SELF_MANU,Self- and other supply for total manufacturing,2016,2016,M3,Cubic metres,6,Millions,,,293.4,,
AUS,Australia,SELF_MANU,Self- and other supply for total manufacturing,2017,2017,M3,Cubic metres,6,Millions,,,298.032,,
AUS,Australia,SELF_MANU,Self- and other supply for total manufacturing,2018,2018,M3,Cubic metres,6,Millions,,,322.003,,
AUS,Australia,SELF_MANU,Self- and other supply for total manufacturing,2019,2019,M3,Cubic metres,6,Millions,,,312.089,,
AUS,Australia,SELF_MANU,Self- and other supply for total manufacturing,2020,2020,M3,Cubic metres,6,Millions,,,299.409,,
AUS,Australia,SELF_MANU,Self- and other supply for total manufacturing,2021,2021,M3,Cubic metres,6,Millions,,,296.824,,
AUT,Austria,PUB,Public water supply,1980,1980,M3,Cubic metres,6,Millions,,,550.5,,
AUT,Austria,PUB,Public water supply,1985,1985,M3,Cubic metres,6,Millions,,,589.3,,
AUT,Austria,PUB,Public water supply,1990,1990,M3,Cubic metres,6,Millions,,,603.7,,
AUT,Austria,PUB,Public water supply,1995,1995,M3,Cubic metres,6,Millions,,,611.1,,
AUT,Austria,PUB,Public water supply,2010,2010,M3,Cubic metres,6,Millions,,,587,,
AUT,Austria,PUB_HH,Public water supply for households,1980,1980,M3,Cubic metres,6,Millions,,,391.8,,
AUT,Austria,PUB_HH,Public water supply for households,1985,1985,M3,Cubic metres,6,Millions,,,440.8,,
AUT,Austria,PUB_HH,Public water supply for households,1990,1990,M3,Cubic metres,6,Millions,,,350,,
AUT,Austria,PUB_HH,Public water supply for households,1995,1995,M3,Cubic metres,6,Millions,,,337.4,,
AUT,Austria,PUB_HH,Public water supply for households,2000,2000,M3,Cubic metres,6,Millions,,,351.2,,
AUT,Austria,PUB_HH,Public water supply for households,2010,2010,M3,Cubic metres,6,Millions,,,381,,
AUT,Austria,PUB_HH,Public water supply for households,2016,2016,M3,Cubic metres,6,Millions,,,379,E,Estimated value
AUT,Austria,PUB_HH,Public water supply for households,2017,2017,M3,Cubic metres,6,Millions,,,375.77,E,Estimated value
AUT,Austria,PUB_HH,Public water supply for households,2018,2018,M3,Cubic metres,6,Millions,,,378.14,E,Estimated value
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,1980,1980,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,1985,1985,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,2000,2000,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,2005,2005,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,2010,2010,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,2015,2015,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,2016,2016,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,2017,2017,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,2018,2018,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,2019,2019,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_TOT,Total gross abstraction non-freshwater,2020,2020,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,1980,1980,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,1985,1985,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,2000,2000,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,2005,2005,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,2010,2010,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,2015,2015,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,2016,2016,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,2017,2017,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,2018,2018,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,2019,2019,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_SER,Abstractions for services - non-freshwater,2020,2020,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1980,1980,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1985,1985,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2000,2000,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2005,2005,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2010,2010,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2015,2015,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2016,2016,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2017,2017,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2018,2018,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2019,2019,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_AGR,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2020,2020,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,1980,1980,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,1985,1985,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,2000,2000,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,2005,2005,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,2010,2010,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,2015,2015,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,2016,2016,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,2017,2017,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,2018,2018,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,2019,2019,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_IRR,Abstractions for irrigation. Non-freshwater,2020,2020,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,1980,1980,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,1985,1985,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,2000,2000,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,2005,2005,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,2010,2010,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,2015,2015,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,2016,2016,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,2017,2017,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,2018,2018,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,2019,2019,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANU,Abstractions for manufacturing. Non-freshwater,2020,2020,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,1980,1980,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,1985,1985,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,2000,2000,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,2005,2005,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,2010,2010,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,2015,2015,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,2016,2016,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,2017,2017,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,2018,2018,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,2019,2019,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_MANUCOOL,Abstractions for cooling (manufacturing). Non-freshwater,2020,2020,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,1980,1980,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,1985,1985,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2000,2000,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2005,2005,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2010,2010,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2015,2015,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2016,2016,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2017,2017,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2018,2018,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2019,2019,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2020,2020,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,SER_DES,Abstractions for services - desalinated water,1980,1980,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,SER_DES,Abstractions for services - desalinated water,1985,1985,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,SER_DES,Abstractions for services - desalinated water,1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,SER_DES,Abstractions for services - desalinated water,1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,REUSE_SER,Abstractions for services - reused water,1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,REUSE_SER,Abstractions for services - reused water,1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,REUSE_ELECCOOL,Abstractions for electricity production (cooling). Reused water,1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,REUSE_ELECCOOL,Abstractions for electricity production (cooling). Reused water,1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,REUSE_MANUCOOL,Abstractions for manufacturing cooling. Reused water,1990,1990,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,REUSE_MANUCOOL,Abstractions for manufacturing cooling. Reused water,1995,1995,M3,Cubic metres,6,Millions,,,0,,
BEL,Belgium,REUSE_AGR,"Abstractions for agriculture, forestry, fishing. Reused water",1990,1990,M3,Cubic metres,6,Millions,,,0,,
